1.9737e+05	15
15	1.7528e+05
1.7528e+05	43955
43955	1.9713e+05
1.9713e+05	11059
11059	1.8348e+05
1.8348e+05	49414
49414	1.9725e+05
1.9725e+05	2803
2803	1.7733e+05
1.7733e+05	46003
46003	1.9719e+05
1.9719e+05	12422
12422	1.8552e+05
1.8552e+05	49478
49478	1.9732e+05
1.9732e+05	723
723	1.758e+05
1.758e+05	44467
44467	1.9716e+05
1.9716e+05	11571
11571	1.8399e+05
1.8399e+05	49446
49446	1.9729e+05
1.9729e+05	3142
3142	1.7784e+05
1.7784e+05	46515
46515	1.9722e+05
1.9722e+05	12454
12454	1.8604e+05
1.8604e+05	49510
49510	1.9735e+05
1.9735e+05	195
195	1.7541e+05
1.7541e+05	44083
44083	1.9714e+05
1.9714e+05	11187
11187	1.836e+05
1.836e+05	49430
49430	1.9727e+05
1.9727e+05	2931
2931	1.7746e+05
1.7746e+05	46131
46131	1.9721e+05
1.9721e+05	12438
12438	1.8565e+05
1.8565e+05	49494
49494	1.9733e+05
1.9733e+05	806
806	1.7592e+05
1.7592e+05	44595
44595	1.9717e+05
1.9717e+05	11699
11699	1.8412e+05
1.8412e+05	49462
49462	1.973e+05
1.973e+05	3158
3158	1.7797e+05
1.7797e+05	46643
46643	1.9724e+05
1.9724e+05	12470
12470	1.8616e+05
1.8616e+05	49526
49526	1.9737e+05
1.9737e+05	58
58	1.7532e+05
1.7532e+05	43987
43987	1.9713e+05
1.9713e+05	11091
11091	1.8351e+05
1.8351e+05	49422
49422	1.9726e+05
1.9726e+05	2835
2835	1.7736e+05
1.7736e+05	46035
46035	1.972e+05
1.972e+05	12430
12430	1.8556e+05
1.8556e+05	49486
49486	1.9733e+05
1.9733e+05	755
755	1.7583e+05
1.7583e+05	44499
44499	1.9717e+05
1.9717e+05	11603
11603	1.8402e+05
1.8402e+05	49454
49454	1.9729e+05
1.9729e+05	3150
3150	1.7788e+05
1.7788e+05	46547
46547	1.9723e+05
1.9723e+05	12462
12462	1.8607e+05
1.8607e+05	49518
49518	1.9736e+05
1.9736e+05	214
214	1.7544e+05
1.7544e+05	44115
44115	1.9715e+05
1.9715e+05	11219
11219	1.8364e+05
1.8364e+05	49438
49438	1.9728e+05
1.9728e+05	2963
2963	1.7749e+05
1.7749e+05	46163
46163	1.9721e+05
1.9721e+05	12446
12446	1.8568e+05
1.8568e+05	49502
49502	1.9734e+05
1.9734e+05	814
814	1.7596e+05
1.7596e+05	44627
44627	1.9718e+05
1.9718e+05	11731
11731	1.8415e+05
1.8415e+05	49470
49470	1.9731e+05
1.9731e+05	3166
3166	1.78e+05
1.78e+05	46675
46675	1.9725e+05
1.9725e+05	12478
12478	1.862e+05
1.862e+05	49534
49534	1.9737e+05
1.9737e+05	5
5	1.7528e+05
1.7528e+05	43949
43949	1.9712e+05
1.9712e+05	11053
11053	1.8347e+05
1.8347e+05	49411
49411	1.9725e+05
1.9725e+05	2797
2797	1.7732e+05
1.7732e+05	45997
45997	1.9719e+05
1.9719e+05	12419
12419	1.8552e+05
1.8552e+05	49475
49475	1.9732e+05
1.9732e+05	717
717	1.7579e+05
1.7579e+05	44461
44461	1.9716e+05
1.9716e+05	11565
11565	1.8398e+05
1.8398e+05	49443
49443	1.9728e+05
1.9728e+05	3139
3139	1.7784e+05
1.7784e+05	46509
46509	1.9722e+05
1.9722e+05	12451
12451	1.8603e+05
1.8603e+05	49507
49507	1.9735e+05
1.9735e+05	189
189	1.754e+05
1.754e+05	44077
44077	1.9714e+05
1.9714e+05	11181
11181	1.836e+05
1.836e+05	49427
49427	1.9727e+05
1.9727e+05	2925
2925	1.7745e+05
1.7745e+05	46125
46125	1.972e+05
1.972e+05	12435
12435	1.8564e+05
1.8564e+05	49491
49491	1.9733e+05
1.9733e+05	803
803	1.7592e+05
1.7592e+05	44589
44589	1.9717e+05
1.9717e+05	11693
11693	1.8411e+05
1.8411e+05	49459
49459	1.973e+05
1.973e+05	3155
3155	1.7796e+05
1.7796e+05	46637
46637	1.9724e+05
1.9724e+05	12467
12467	1.8616e+05
1.8616e+05	49523
49523	1.9736e+05
1.9736e+05	53
53	1.7531e+05
1.7531e+05	43981
43981	1.9713e+05
1.9713e+05	11085
11085	1.835e+05
1.835e+05	49419
49419	1.9726e+05
1.9726e+05	2829
2829	1.7736e+05
1.7736e+05	46029
46029	1.972e+05
1.972e+05	12427
12427	1.8555e+05
1.8555e+05	49483
49483	1.9732e+05
1.9732e+05	749
749	1.7582e+05
1.7582e+05	44493
44493	1.9716e+05
1.9716e+05	11597
11597	1.8401e+05
1.8401e+05	49451
49451	1.9729e+05
1.9729e+05	3147
3147	1.7787e+05
1.7787e+05	46541
46541	1.9723e+05
1.9723e+05	12459
12459	1.8606e+05
1.8606e+05	49515
49515	1.9736e+05
1.9736e+05	211
211	1.7544e+05
1.7544e+05	44109
44109	1.9715e+05
1.9715e+05	11213
11213	1.8363e+05
1.8363e+05	49435
49435	1.9728e+05
1.9728e+05	2957
2957	1.7748e+05
1.7748e+05	46157
46157	1.9721e+05
1.9721e+05	12443
12443	1.8568e+05
1.8568e+05	49499
49499	1.9734e+05
1.9734e+05	811
811	1.7595e+05
1.7595e+05	44621
44621	1.9718e+05
1.9718e+05	11725
11725	1.8414e+05
1.8414e+05	49467
49467	1.9731e+05
1.9731e+05	3163
3163	1.78e+05
1.78e+05	46669
46669	1.9724e+05
1.9724e+05	12475
12475	1.8619e+05
1.8619e+05	49531
49531	1.9737e+05
1.9737e+05	16
16	1.7528e+05
1.7528e+05	43957
43957	1.9713e+05
1.9713e+05	11061
11061	1.8348e+05
1.8348e+05	49415
49415	1.9726e+05
1.9726e+05	2805
2805	1.7733e+05
1.7733e+05	46005
46005	1.9719e+05
1.9719e+05	12423
12423	1.8552e+05
1.8552e+05	49479
49479	1.9732e+05
1.9732e+05	725
725	1.758e+05
1.758e+05	44469
44469	1.9716e+05
1.9716e+05	11573
11573	1.8399e+05
1.8399e+05	49447
49447	1.9729e+05
1.9729e+05	3143
3143	1.7784e+05
1.7784e+05	46517
46517	1.9722e+05
1.9722e+05	12455
12455	1.8604e+05
1.8604e+05	49511
49511	1.9735e+05
1.9735e+05	197
197	1.7541e+05
1.7541e+05	44085
44085	1.9714e+05
1.9714e+05	11189
11189	1.836e+05
1.836e+05	49431
